LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
6.1704097,49.7487095,8,Rue de l'Ecole,,Schoos,,,7475,177376,fe668e8419c7e1b6
6.1172505,49.6318355,47,Rue Jean-Pierre Huberty,,Luxembourg,,,1742,21527,846033724ecacdab
6.1377881,49.6734801,2B,Rue du Chemin de Fer,,Heisdorf,,,7318,110373,c51317c50e624e20
5.9227839,49.5472085,87,Rue Emmanuel Servais,,Sanem,,,4989,90414,30fa80c4073917de
6.0883497,49.6621423,52,Rue de Schoenfels,,Bridel,,,8151,36513,e65d9ddf1ab2916e
6.0819069,49.9504627,3,Braaken,,Hoscheid,,,9376,138138,022ad8a837d94445
6.1451282,49.5818467,34,Rue Ernest Beres,,Howald,,,1232,103387,a9612c289d57d3a5
6.0089289,49.799027,7,Rue de la Chapelle,,Vichten,,,9188,145250,38601d6ac1e40210
6.079569,49.6539818,25,Allée St. Hubert,,Bridel,,,8138,36069,2fa0b4b3be694994
5.9606281,49.8294411,38,Rue de Bastogne,,Grosbous,,,9154,143530,fbac84574e8f15b6
6.160067,49.6230906,54,Rue des Muguets,,Luxembourg,,,2167,16473,84cee745a6ed2ae7
6.1517094,49.6235823,2,Rue Léon Hengen,,Luxembourg,,,1745,22334,2c7c15d897773a45
6.1387401,49.600661,4,Rue Félix de Blochausen,,Luxembourg,,,1243,19387,65e069e6be18d500
6.083131,49.4894637,100,Route de Luxembourg,,Dudelange,,,3515,54637,165db5782563c3ab
6.1161838,49.6161489,63,Rue Jean-François Boch,,Luxembourg,,,1244,21122,b5ba701d56f3fd84
6.0743269,49.4825478,109,Rue Ste Barbe,,Dudelange,,,3416,60193,4bfabbd94701790d
6.0124204,49.5051613,48,Rue de l'Eglise,,Schifflange,,,3833,94997,c3d0112cfb5ee69c
6.0956068,49.6015942,13,Rue de Virton,,Luxembourg,,,2672,14986,bd829c8e95e5345c
6.2181504,49.8088754,8,Rue Knaeppchen,,Medernach,,,7663,138651,d8f50796493c755a
6.120725,49.6817369,8,Bei de Weieren,,Mullendorf,,,7346,233753,08ff8d0f42c6c889
6.2186032,49.5976892,7,Rue Edmond Reuter,,Contern,,,5326,183621,8afaad9b6b4582f1
6.1336277,49.6283033,5,Raspert,,Luxembourg,,,2414,4734,356a572688c1ee1a
